Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,-1,No Helmet,2026-06-12 21:40:58,258,Junction A,21:00-22:00,18.5204,73.8567,0.4158,0
UNKNOWN,169,Triple Riding,2026-06-12 21:40:59,261,"37,199",21:00-22:00,18.5204,73.8567,0.4442,3
UNKNOWN,-1,No Helmet,2026-06-12 21:41:02,273,Junction A,21:00-22:00,18.5204,73.8567,0.2716,0
UNKNOWN,220,Signal Jumping,2026-06-12 21:41:23,318,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,-1,No Helmet,2026-06-12 21:41:25,327,Junction A,21:00-22:00,18.5204,73.8567,0.4001,0
UNKNOWN,306,Triple Riding,2026-06-12 21:41:25,330,"147,141",21:00-22:00,18.5204,73.8567,0.4036,3
UNKNOWN,-1,No Helmet,2026-06-12 21:41:25,330,Junction A,21:00-22:00,18.5204,73.8567,0.3599,0
UNKNOWN,192,Triple Riding,2026-06-12 21:41:25,333,"149,328",21:00-22:00,18.5204,73.8567,0.7228,3
UNKNOWN,-1,No Helmet,2026-06-12 21:41:27,336,Junction A,21:00-22:00,18.5204,73.8567,0.608,0
UNKNOWN,-1,No Helmet,2026-06-12 21:41:30,339,Junction A,21:00-22:00,18.5204,73.8567,0.7286,0
UNKNOWN,2,Triple Riding,2026-06-12 21:46:26,3,Junction A,21:00-22:00,18.5204,73.8567,0.6221,3
UNKNOWN,8,Triple Riding,2026-06-12 21:46:26,3,Junction A,21:00-22:00,18.5204,73.8567,0.5274,3
UNKNOWN,-1,No Helmet,2026-06-12 21:46:32,12,Junction A,21:00-22:00,18.5204,73.8567,0.4299,0
UNKNOWN,-1,No Helmet,2026-06-12 21:46:34,15,Junction A,21:00-22:00,18.5204,73.8567,0.4752,0
UNKNOWN,-1,No Helmet,2026-06-12 21:46:38,21,Junction A,21:00-22:00,18.5204,73.8567,0.4241,0
UNKNOWN,-1,No Helmet,2026-06-12 21:46:40,24,Junction A,21:00-22:00,18.5204,73.8567,0.2596,0
UNKNOWN,-1,No Helmet,2026-06-12 21:46:45,33,Junction A,21:00-22:00,18.5204,73.8567,0.2608,0
UNKNOWN,25,Triple Riding,2026-06-12 21:46:52,48,Junction A,21:00-22:00,18.5204,73.8567,0.425,4
UNKNOWN,-1,No Helmet,2026-06-12 21:47:00,60,Junction A,21:00-22:00,18.5204,73.8567,0.2608,0
UNKNOWN,-1,No Helmet,2026-06-12 21:47:02,63,Junction A,21:00-22:00,18.5204,73.8567,0.2728,0
UNKNOWN,-1,No Helmet,2026-06-12 21:47:09,75,Junction A,21:00-22:00,18.5204,73.8567,0.2516,0
UNKNOWN,-1,No Helmet,2026-06-12 21:47:11,78,Junction A,21:00-22:00,18.5204,73.8567,0.3111,0
UNKNOWN,53,Triple Riding,2026-06-12 21:47:14,84,Junction A,21:00-22:00,18.5204,73.8567,0.5612,3
UNKNOWN,-1,No Helmet,2026-06-12 21:47:56,6,Junction A,21:00-22:00,18.5204,73.8567,0.2889,0
UNKNOWN,12,Triple Riding,2026-06-12 21:47:57,9,Junction A,21:00-22:00,18.5204,73.8567,0.4677,3
UNKNOWN,-1,No Helmet,2026-06-12 21:47:58,9,Junction A,21:00-22:00,18.5204,73.8567,0.4288,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:00,12,Junction A,21:00-22:00,18.5204,73.8567,0.3258,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:02,15,Junction A,21:00-22:00,18.5204,73.8567,0.4016,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:04,18,Junction A,21:00-22:00,18.5204,73.8567,0.4355,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:06,21,Junction A,21:00-22:00,18.5204,73.8567,0.5443,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:08,24,Junction A,21:00-22:00,18.5204,73.8567,0.5206,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:10,27,Junction A,21:00-22:00,18.5204,73.8567,0.3963,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:12,30,Junction A,21:00-22:00,18.5204,73.8567,0.4194,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:13,33,Junction A,21:00-22:00,18.5204,73.8567,0.5178,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:15,36,Junction A,21:00-22:00,18.5204,73.8567,0.5414,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:17,39,Junction A,21:00-22:00,18.5204,73.8567,0.6055,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:19,42,Junction A,21:00-22:00,18.5204,73.8567,0.5783,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:21,45,Junction A,21:00-22:00,18.5204,73.8567,0.61,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:23,48,Junction A,21:00-22:00,18.5204,73.8567,0.5225,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:25,51,Junction A,21:00-22:00,18.5204,73.8567,0.4,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:25,51,Junction A,21:00-22:00,18.5204,73.8567,0.2665,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:27,54,Junction A,21:00-22:00,18.5204,73.8567,0.4166,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:27,54,Junction A,21:00-22:00,18.5204,73.8567,0.3711,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:28,57,Junction A,21:00-22:00,18.5204,73.8567,0.4829,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:28,57,Junction A,21:00-22:00,18.5204,73.8567,0.2964,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:31,60,Junction A,21:00-22:00,18.5204,73.8567,0.6836,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:31,60,Junction A,21:00-22:00,18.5204,73.8567,0.2969,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:32,63,Junction A,21:00-22:00,18.5204,73.8567,0.67,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:32,63,Junction A,21:00-22:00,18.5204,73.8567,0.317,0
UNKNOWN,80,Triple Riding,2026-06-12 21:48:34,66,Junction A,21:00-22:00,18.5204,73.8567,0.6444,3
